Classifier,Experiment,Simulations,Preprocessing,Dimensionality,Dataset,rs,aggregation,acc,f1,p_acc,p_f1,test_acc,test_f1,p_test_acc,p_test_f1,test_mean_acc,test_mean_f1,n_models
knn,mca,12,rankgraph,pca,D100,41,mean,0.7433333333333334,0.837995337995338,0.011,0.0108,0.65,0.7878787878787878,0.054000000000000006,0.027000000000000003,0.63,0.7727272727272727,5
knn,mca,20,loggraph,fa,D100,41,mega,0.6741992720655141,0.7606533300218634,0.0122,0.0,0.6309523809523809,0.7495961227786753,0.0,0.0,0.6423809523809523,0.747376024328482,5
knn,mca,20,loggraph,fa,D100,41,ref,0.6916666666666667,0.8013439153439152,0.051,0.038,0.7,0.8125000000000001,0.018000000000000002,0.01,0.7100000000000001,0.8207966764418378,5
rfc,mca,20,zgraph,pca,D100,41,mega,0.7180512587200485,0.8147090904685255,0.0,0.0,0.7238095238095238,0.8176100628930817,0.0,0.0,0.72,0.8024577436541792,5
rfc,mca,16,zgraph,fa,D100,41,median,0.7033333333333334,0.7904370015948963,0.0826,0.08399999999999999,0.75,0.8484848484848484,0.006999999999999999,0.006,0.74,0.8397727272727273,5
lrc,mca,16,loggraph,pca,D100,41,mega,0.7530743399722094,0.8316562236891635,0.0,0.0,0.65,0.7878787878787878,0.0,0.0,0.6923529411764706,0.807619366383307,5
ada,mca,5,zgraph,pca,D100,41,mega,0.6912531210986267,0.7748565776837951,0.051,0.0344,0.7583333333333333,0.8432432432432432,0.0,0.0,0.6916666666666667,0.7930060582798522,5
ada,mca,5,loggraph,pca,D100,41,none,0.7310333333333333,0.8268728396241438,0.025664000000000003,0.016527999999999998,0.652,0.7893048128342245,0.054479999999999994,0.01668,0.7088,0.8213550399631991,125
ada,mca,5,loggraph,pca,D100,41,meta,0.7175,0.8200644122383253,0.0322,0.019,0.7,0.8235294117647058,0.018000000000000002,0.009000000000000001,0.6779999999999999,0.8019530216778794,5
ada,mca,14,zgraph,fa,D100,41,mean,0.6908333333333333,0.7674752097635393,0.1068,0.11,0.75,0.8387096774193549,0.008,0.003,0.7,0.7866864652671105,5
rfc,mca,7,graph,pca,D100,41,median,0.77,0.849664596273292,0.0196,0.0126,0.7,0.8125000000000001,0.028999999999999998,0.013999999999999999,0.7,0.8075806451612904,5
knn,mca,18,loggraph,fa,D100,41,mean,0.6666666666666666,0.7854578754578755,0.0674,0.048400000000000006,0.65,0.7878787878787878,0.054000000000000006,0.026000000000000002,0.6699999999999999,0.797348484848485,5
lrc,mca,14,loggraph,pca,D100,41,mean,0.8074999999999999,0.8615887544949329,0.008,0.0092,0.7,0.7999999999999999,0.023,0.019,0.71,0.8024014778325123,5
svc,mca,10,zgraph,pca,D100,41,median,0.7958333333333334,0.8389088663688206,0.0088,0.0192,0.8,0.8666666666666666,0.0,0.005,0.64,0.7223475783475783,5
lrc,mca,7,graph,pca,D100,41,none,0.7696904761904759,0.8217512612700585,0.013668571428571427,0.02912,0.8000000000000002,0.8571428571428571,0.0,0.004,0.75,0.8089479620908195,175
lrc,mca,7,graph,pca,D100,41,meta,0.7449999999999999,0.8071086807928914,0.0266,0.041400000000000006,0.8499999999999999,0.8965517241379308,0.0,0.001,0.8099999999999998,0.8644407954752784,5
knn,mca,16,zgraph,fa,D100,41,mega,0.6451725335803613,0.699403190797766,0.16140000000000002,0.1924,0.6617647058823529,0.7088607594936709,0.0,0.0,0.6111764705882352,0.6771030478027489,5
rfc,mca,5,graph,fa,D100,41,consensus,0.8458333333333334,0.8946922642574817,0.0036,0.0024,0.7,0.8125000000000001,0.018000000000000002,0.012,0.7300000000000001,0.8263636363636362,5
lrc,mca,18,loggraph,pca,D100,41,mega,0.7413034346429453,0.824829386610741,0.0,0.0,0.65,0.7878787878787878,0.0,0.0,0.6810526315789474,0.7993194177875401,5
svc,mca,16,zgraph,pca,D100,41,consensus,0.7958333333333334,0.8389088663688206,0.0086,0.021,0.8,0.8666666666666666,0.002,0.002,0.6699999999999999,0.7462336182336182,5
lrc,mca,12,zgraph,pca,D100,41,consensus,0.7441666666666666,0.8070960008717446,0.0488,0.0492,0.75,0.8275862068965518,0.005,0.009000000000000001,0.71,0.7884664505354159,5
rfc,mca,2,rankgraph,fa,D100,41,consensus,0.6675,0.7905993265993267,0.0738,0.0454,0.65,0.7878787878787878,0.06,0.027000000000000003,0.7,0.8135386119257086,5
rfc,mca,7,loggraph,pca,D100,41,mean,0.6925,0.793201581027668,0.07120000000000001,0.05060000000000001,0.7,0.8235294117647058,0.028999999999999998,0.011000000000000001,0.71,0.8221348884381339,5
svc,mca,18,graph,fa,D100,41,mega,0.7661700024709661,0.8067233724201658,0.0,0.001,0.7657894736842106,0.8366972477064221,0.0,0.0,0.7763157894736842,0.8280932423614168,5
ada,mca,7,loggraph,fa,D100,41,none,0.6159761904761906,0.7050476369731028,0.16603428571428572,0.17554857142857144,0.6499999999999999,0.7590656284760844,0.06000000000000001,0.046542857142857136,0.6234285714285716,0.7235658994776907,175
ada,mca,7,loggraph,fa,D100,41,meta,0.6658333333333333,0.7560113723042784,0.0732,0.06860000000000001,0.692857142857143,0.8070276497695853,0.033428571428571426,0.016428571428571428,0.6842857142857142,0.7877852047429356,5
ada,mca,5,rankgraph,pca,D100,41,consensus,0.6908333333333333,0.7825902921555095,0.06240000000000001,0.061,0.7,0.8235294117647058,0.018000000000000002,0.009000000000000001,0.67,0.788062473851913,5
lrc,mca,10,graph,pca,D100,41,none,0.7807000000000001,0.8297893557422971,0.010860000000000002,0.019236000000000003,0.7509999999999999,0.8156613756613758,0.005880000000000001,0.01186,0.6897999999999999,0.7591908180708182,250
lrc,mca,10,graph,pca,D100,41,meta,0.795,0.8436853002070392,0.0144,0.021,0.75,0.8275862068965518,0.006,0.012,0.7020000000000001,0.7799539219401288,5
knn,mca,20,zgraph,fa,D100,41,consensus,0.6541666666666666,0.7319977266268826,0.1218,0.15040000000000006,0.7,0.7857142857142857,0.018000000000000002,0.021,0.6699999999999999,0.7644713906782872,5
lrc,mca,20,rankgraph,fa,D100,41,ref,0.6041666666666666,0.7096203948606694,0.1844,0.17960000000000004,0.8,0.8461538461538461,0.0,0.003,0.6900000000000001,0.7710052910052909,5
lrc,mca,10,zgraph,fa,D100,41,consensus,0.7816666666666666,0.8290362269309638,0.0132,0.021,0.8,0.8571428571428571,0.0,0.005,0.71,0.7798127798127799,5
rfc,mca,5,loggraph,pca,D100,41,mega,0.7466198501872661,0.8322699148346209,0.0014,0.0,0.65,0.7878787878787878,0.0,0.0,0.675,0.7947312621943672,5
lrc,mca,18,graph,pca,D100,41,consensus,0.7308333333333333,0.786733500417711,0.0256,0.040400000000000005,0.8,0.8571428571428571,0.004,0.006,0.74,0.8061001221001222,5
lrc,mca,14,graph,fa,D100,41,consensus,0.7708333333333334,0.8109409888357257,0.0258,0.068,0.7,0.7692307692307692,0.023,0.025,0.63,0.7123809523809523,5
rfc,mca,2,rankgraph,pca,D100,41,median,0.7424999999999999,0.8295621532463636,0.0244,0.0232,0.7,0.8235294117647058,0.028999999999999998,0.011000000000000001,0.7,0.8166844919786096,5
knn,mca,7,loggraph,pca,D100,41,mega,0.6688769257703081,0.7571733644400981,0.0002,0.0,0.6625,0.7839999999999999,0.0,0.0,0.6575,0.7808879522024811,5
knn,mca,5,graph,fa,D100,41,median,0.7058333333333333,0.7903672224038356,0.064,0.0556,0.75,0.8275862068965518,0.006999999999999999,0.006999999999999999,0.75,0.8258201058201058,5
knn,mca,12,graph,pca,D100,41,mega,0.7321484271742004,0.7967417793130711,0.0,0.0,0.6807692307692308,0.789873417721519,0.0,0.0,0.6992307692307692,0.796103404916133,5
rfc,mca,12,rankgraph,pca,D100,41,mean,0.73,0.8313821379908335,0.021200000000000004,0.017400000000000002,0.7,0.8235294117647058,0.021,0.01,0.72,0.8301995284917487,5
knn,mca,20,zgraph,fa,D100,41,mean,0.6658333333333333,0.7427843653930609,0.13699999999999998,0.1652,0.7,0.7857142857142857,0.018000000000000002,0.021,0.68,0.7664126422747113,5
rfc,mca,14,loggraph,fa,D100,41,mean,0.705,0.8057142857142857,0.0578,0.04540000000000001,0.7,0.8125000000000001,0.023,0.012,0.7000000000000001,0.8109848484848484,5
ada,mca,14,graph,fa,D100,41,mean,0.6783333333333333,0.7561137692716641,0.1038,0.10739999999999998,0.75,0.8275862068965518,0.008,0.003,0.72,0.8031891990512682,5
knn,mca,16,loggraph,fa,D100,41,none,0.6911979166666667,0.7985976398802487,0.0383025,0.029677500000000006,0.74875,0.8380742913000978,0.007650000000000001,0.009212499999999998,0.6798749999999998,0.79497246600253,400
knn,mca,16,loggraph,fa,D100,41,meta,0.705,0.7965993265993265,0.0306,0.0304,0.65625,0.7910557184750733,0.05575,0.0249375,0.6343749999999999,0.7716563806165099,5
lrc,mca,18,loggraph,pca,D100,41,median,0.7575000000000001,0.8182775119617224,0.033199999999999986,0.0398,0.7,0.7999999999999999,0.018000000000000002,0.023,0.65,0.7643721392108489,5
