Classifier,Experiment,Simulations,Preprocessing,Dimensionality,Dataset,rs,aggregation,acc,f1,p_acc,p_f1,test_acc,test_f1,p_test_acc,p_test_f1,test_mean_acc,test_mean_f1,n_models
lrc,mca,7,rankgraph,fa,D100,41,truncate,0.6016666666666667,0.5634232434232435,0.1916,0.3464,0.55,0.4705882352941176,0.257,0.59,0.5199999999999999,0.4138235294117647,5
ada,mca,12,loggraph,fa,D100,41,mega,0.6150696767001115,0.5915773060341586,0.023,0.2482,0.6423076923076924,0.6381322957198443,0.0,0.0,0.6207692307692307,0.5891660039955415,5
svc,mca,14,rankgraph,fa,D100,41,truncate,0.5875,0.5632034632034632,0.2338,0.3514,0.6,0.6,0.124,0.2,0.54,0.4882696938424493,5
lrc,mca,5,graph,fa,D100,41,mega,0.5629605263157895,0.5533777978976182,0.1369999999999999,0.2258,0.575,0.5853658536585366,0.035,0.039,0.6033333333333333,0.6002154688509829,5
svc,mca,12,zgraph,pca,D100,41,truncate,0.6275000000000001,0.5193939393939393,0.136,0.4495999999999999,0.6,0.6,0.12,0.185,0.6199999999999999,0.5650980392156864,5
lrc,mca,18,zgraph,fa,D100,41,mega,0.5616323606044815,0.5677385676810092,0.0312,0.1444,0.6,0.6666666666666666,0.0,0.0,0.6010526315789473,0.6493891110965401,5
knn,mca,2,graph,fa,D100,41,mega,0.5964834515366431,0.5416117216117217,0.1447999999999999,0.3472,0.7333333333333333,0.7142857142857142,0.0,0.002,0.6833333333333333,0.6688894260217577,5
rfc,mca,7,graph,pca,D100,41,mega,0.5579502952755906,0.5566960882033098,0.3358,0.3492,0.6375,0.6506024096385542,0.0,0.0,0.61625,0.6296003066430517,5
svc,mca,20,loggraph,pca,D100,41,ref,0.5366666666666666,0.4999954431533379,0.3106,0.4924,0.5,0.4444444444444445,0.39,0.688,0.58,0.4850606909430438,5
rfc,mca,5,zgraph,fa,D100,41,truncate,0.5775,0.5735714285714286,0.2167999999999999,0.3238,0.65,0.631578947368421,0.065,0.136,0.64,0.6311939268461007,5
knn,mca,16,zgraph,fa,D100,41,median,0.5008333333333334,0.4091575091575091,0.4269999999999999,0.6218000000000001,0.6,0.5555555555555556,0.127,0.31,0.5799999999999998,0.5472681704260651,5
svc,mca,12,zgraph,fa,D100,41,none,0.6262638888888888,0.563697707521237,0.1354933333333333,0.3194766666666667,0.5499999999999999,0.5714285714285712,0.236,0.236,0.5801666666666665,0.5617348927875242,300
svc,mca,12,zgraph,fa,D100,41,meta,0.5908333333333333,0.584313725490196,0.1898,0.2694,0.5541666666666666,0.5738095238095237,0.2263333333333332,0.2317499999999999,0.5700000000000001,0.5828571428571427,5
svc,mca,20,loggraph,pca,D100,41,median,0.5883333333333333,0.5480174211753159,0.2124,0.4147999999999999,0.55,0.4705882352941176,0.244,0.621,0.56,0.4489495798319328,5
lrc,mca,7,loggraph,pca,D100,41,consensus,0.5875,0.5833333333333333,0.2336,0.3074,0.65,0.631578947368421,0.071,0.134,0.65,0.6107602339181286,5
svc,mca,12,rankgraph,fa,D100,41,consensus,0.6133333333333333,0.6044024087367742,0.1634,0.226,0.55,0.5263157894736842,0.236,0.367,0.54,0.4721241830065359,5
knn,mca,7,rankgraph,fa,D100,41,median,0.5625,0.5809803921568627,0.2686,0.298,0.55,0.5263157894736842,0.257,0.383,0.5900000000000001,0.5524269005847954,5
rfc,mca,2,zgraph,fa,D100,41,consensus,0.5616666666666668,0.5348473748473748,0.3212,0.4745999999999999,0.55,0.5263157894736842,0.263,0.388,0.6399999999999999,0.6111111111111113,5
svc,mca,14,loggraph,pca,D100,41,none,0.5498214285714286,0.4918626235919469,0.30268,0.4660685714285715,0.5507142857142855,0.4724369747899158,0.2462285714285715,0.6199142857142856,0.5901428571428574,0.4666840630989237,350
svc,mca,14,loggraph,pca,D100,41,meta,0.55,0.4920300751879699,0.3022,0.4535999999999999,0.5499999999999999,0.4705882352941177,0.248,0.6260000000000001,0.6307142857142856,0.5501071733041042,5
lrc,mca,2,graph,pca,D100,41,median,0.5258333333333333,0.5217919799498747,0.3394,0.4067999999999999,0.65,0.631578947368421,0.062,0.137,0.65,0.6263993316624895,5
lrc,mca,18,loggraph,fa,D100,41,none,0.5892870370370371,0.5593507973507974,0.2008644444444444,0.3585488888888888,0.5505555555555554,0.4715323166303558,0.273611111111111,0.5959444444444445,0.5701111111111113,0.4781234759010816,450
lrc,mca,18,loggraph,fa,D100,41,meta,0.615,0.6106959706959707,0.161,0.2354,0.6,0.5555555555555556,0.15,0.324,0.5422222222222222,0.4625687994496044,5
lrc,mca,20,zgraph,pca,D100,41,mean,0.6008333333333333,0.6141923436041085,0.1738,0.2325999999999999,0.65,0.6956521739130435,0.062,0.045,0.65,0.6909090909090908,5
lrc,mca,7,loggraph,pca,D100,41,mega,0.6248146325459317,0.6364510049479095,0.053,0.1242,0.70625,0.7006369426751592,0.0,0.0,0.67125,0.654701314239581,5
knn,mca,18,zgraph,fa,D100,41,median,0.5383333333333333,0.4529850541615247,0.3164,0.5386,0.55,0.5263157894736842,0.275,0.403,0.5599999999999999,0.5260504201680671,5
lrc,mca,7,rankgraph,pca,D100,41,none,0.6772380952380952,0.6809624465170684,0.1040285714285714,0.1759942857142857,0.5500000000000002,0.5263157894736843,0.2569999999999999,0.3829999999999999,0.6005714285714288,0.5816441102756892,175
lrc,mca,7,rankgraph,pca,D100,41,meta,0.6783333333333333,0.6961764705882353,0.1026,0.126,0.557142857142857,0.5368421052631578,0.241,0.354,0.6171428571428571,0.6125647451963241,5
svc,mca,14,zgraph,pca,D100,41,median,0.615,0.5091375291375291,0.1374,0.4751999999999999,0.65,0.631578947368421,0.065,0.149,0.5999999999999999,0.5259803921568628,5
lrc,mca,14,graph,fa,D100,41,none,0.5633214285714285,0.5642896389324961,0.2501657142857142,0.3188142857142857,0.7492857142857143,0.7980952380952377,0.0132857142857142,0.0073857142857142,0.7181428571428569,0.737100359594639,350
lrc,mca,14,graph,fa,D100,41,meta,0.5758333333333334,0.5823295985060692,0.2158,0.2769999999999999,0.75,0.8000000000000002,0.013,0.006,0.682142857142857,0.7111170317097092,5
rfc,mca,7,graph,pca,D100,41,truncate,0.5525,0.4990476190476191,0.2894,0.5038,0.65,0.6666666666666666,0.071,0.046,0.6100000000000001,0.628133971291866,5
lrc,mca,2,graph,fa,D100,41,median,0.5758333333333334,0.6146365914786969,0.2915999999999999,0.286,0.45,0.4761904761904761,0.597,0.544,0.53,0.5179160021265284,5
rfc,mca,20,rankgraph,fa,D100,41,none,0.5749916666666667,0.5739052495492124,0.2317799999999999,0.31797,0.6004999999999999,0.6006666666666667,0.12734,0.1897499999999999,0.6001,0.5742144478844168,500
rfc,mca,20,rankgraph,fa,D100,41,meta,0.575,0.5741589267285863,0.2312,0.3172,0.6500000000000001,0.6649122807017542,0.062,0.0695,0.6290000000000001,0.6170409356725146,5
knn,mca,16,rankgraph,fa,D100,41,truncate,0.5875,0.5893927125506073,0.2234,0.2677999999999999,0.6,0.6,0.127,0.198,0.5900000000000001,0.5454420364637083,5
lrc,mca,10,graph,fa,D100,41,median,0.5991666666666667,0.60453216374269,0.2548,0.307,0.6,0.6363636363636365,0.132,0.121,0.5800000000000001,0.577092731829574,5
rfc,mca,14,rankgraph,fa,D100,41,consensus,0.5625,0.5497105508870215,0.2458,0.3472,0.65,0.631578947368421,0.065,0.149,0.6199999999999999,0.5915445476436189,5
ada,mca,2,rankgraph,fa,D100,41,mean,0.5258333333333333,0.5243137254901961,0.3234,0.4267999999999999,0.65,0.631578947368421,0.062,0.137,0.5800000000000001,0.5898412698412698,5
knn,mca,20,rankgraph,pca,D100,41,ref,0.625,0.6718782249742002,0.1715999999999999,0.1494,0.55,0.5714285714285713,0.244,0.267,0.5700000000000001,0.5578983108394873,5
knn,mca,5,rankgraph,pca,D100,41,mega,0.463735380116959,0.474534999280762,0.5614,0.533,0.725,0.717948717948718,0.0,0.0,0.6116666666666667,0.6196677690981717,5
knn,mca,12,rankgraph,fa,D100,41,none,0.6257916666666666,0.6221927736006683,0.14334,0.1880299999999999,0.5491666666666666,0.5249512670565302,0.23875,0.3718333333333333,0.5306666666666668,0.4826631511190335,300
knn,mca,12,rankgraph,fa,D100,41,meta,0.6133333333333334,0.6164285714285714,0.1816,0.2033999999999999,0.5499999999999999,0.5263157894736842,0.2359999999999999,0.367,0.5499999999999999,0.5253968253968254,5
svc,mca,10,loggraph,fa,D100,41,mega,0.5859155844155844,0.5445570215965346,0.0477999999999999,0.37,0.7181818181818181,0.7129629629629629,0.0,0.0,0.6918181818181818,0.6565807734739278,5
